CODE;NAME;DESCR;VALUE;DIMENSION
1;WEEKLY;Weekly;7;DAY
2;BIWEEKLY;Bi-Weekly;2;WEEK
3;MONTHLY;Monthly;1;MONTH
4;YEARLY;Yearly;1;YEAR
